Ensembl_ID_CDDP,gene_biotype,external_gene_name,description
ENSG00000174744,BRMS1,BRMS1 transcriptional repressor and anoikis regulator 
ENSG00000174996,KLC2,kinesin light chain 2 
ENSG00000175166,PSMD2,proteasome 26S subunit ubiquitin receptor, non-ATPase 2 
ENSG00000175820,CCDC168,coiled-coil domain containing 168 
ENSG00000176170,SPHK1,sphingosine kinase 1 
ENSG00000176381,PRR18,proline rich 18 
ENSG00000176749,CDK5R1,cyclin dependent kinase 5 regulatory subunit 1 
ENSG00000176919,C8G,complement C8 gamma chain 
ENSG00000177595,PIDD1,p53-induced death domain protein 1 
ENSG00000178381,ZFAND2A,zinc finger AN1-type containing 2A 
ENSG00000178502,KLHL11,kelch like family member 11 
ENSG00000179148,ALOXE3,arachidonate lipoxygenase 3 
ENSG00000179562,GCC1,GRIP and coiled-coil domain containing 1 
ENSG00000179988,PSTK,phosphoseryl-tRNA kinase 
ENSG00000180385,EMC3-AS1,EMC3 antisense RNA 1 
ENSG00000181016,LSMEM1,leucine rich single-pass membrane protein 1 
ENSG00000181026,AEN,apoptosis enhancing nuclease 
ENSG00000181222,POLR2A,RNA polymerase II subunit A 
ENSG00000181991,MRPS11,mitochondrial ribosomal protein S11 
ENSG00000182308,DCAF4L1,DDB1 and CUL4 associated factor 4 like 1 
ENSG00000182325,FBXL6,F-box and leucine rich repeat protein 6 
ENSG00000182685,BRICD5,BRICHOS domain containing 5 
ENSG00000182687,GALR2,galanin receptor 2 
ENSG00000183423,LRIT3,leucine rich repeat, Ig-like and transmembrane domains 3 
ENSG00000183426,NPIPA1,nuclear pore complex interacting protein family member A1 
ENSG00000183479,TREX2,three prime repair exonuclease 2 
ENSG00000184162,NR2C2AP,nuclear receptor 2C2 associated protein 
ENSG00000184205,TSPYL2,TSPY like 2 
ENSG00000184697,CLDN6,claudin 6 
ENSG00000184786,DYNLT2,dynein light chain Tctex-type 2 
ENSG00000185115,NSMCE3,NSE3 homolog, SMC5-SMC6 complex component 
ENSG00000185163,DDX51,DEAD-box helicase 51 
ENSG00000185338,SOCS1,suppressor of cytokine signaling 1 
ENSG00000186162,CIDECP1,CIDEC pseudogene 1 
ENSG00000186166,CENATAC,centrosomal AT-AC splicing factor 
ENSG00000186501,TMEM222,transmembrane protein 222 
ENSG00000186834,HEXIM1,HEXIM P-TEFb complex subunit 1 
ENSG00000187531,SIRT7,sirtuin 7 
ENSG00000188167,TMPPE,transmembrane protein with metallophosphoesterase domain 
ENSG00000188199,NUTM2B,NUT family member 2B 
ENSG00000188566,NDOR1,NADPH dependent diflavin oxidoreductase 1 
ENSG00000188993,LRRC66,leucine rich repeat containing 66 
ENSG00000189001,SBSN,suprabasin 
ENSG00000189120,SP6,Sp6 transcription factor 
ENSG00000189171,S100A13,S100 calcium binding protein A13 
ENSG00000196118,CFAP119,cilia and flagella associated protein 119 
ENSG00000196843,ARID5A,AT-rich interaction domain 5A 
ENSG00000197063,MAFG,MAF bZIP transcription factor G 
ENSG00000197714,ZNF460,zinc finger protein 460 
ENSG00000197961,ZNF121,zinc finger protein 121 
ENSG00000198208,RPS6KL1,ribosomal protein S6 kinase like 1 
ENSG00000198576,ARC,activity regulated cytoskeleton associated protein 
ENSG00000198805,PNP,purine nucleoside phosphorylase 
ENSG00000203761,unMSTO2P,misato family member 2, pseudogene 
ENSG00000203804,ADAMTSL4-AS1,ADAMTSL4 antisense RNA 1 
ENSG00000203811,H3C14,H3 clustered histone 14 
ENSG00000203814,H2BC18,H2B clustered histone 18 
ENSG00000203852,H3C15,H3 clustered histone 15 
ENSG00000204149,AGAP6,ArfGAP with GTPase domain, ankyrin repeat and PH domain 6 
ENSG00000204172,AGAP9,ArfGAP with GTPase domain, ankyrin repeat and PH domain 9 
ENSG00000204256,BRD2,bromodomain containing 2 
ENSG00000204802,FAM88C,family with sequence similarity 88 member C 
ENSG00000204947,ZNF425,zinc finger protein 425 
ENSG00000210082,Mt_rRNA,MT-RNR2,mitochondrially encoded 16S rRNA 
ENSG00000211454,AKR7L,aldo-keto reductase family 7 like (gene/pseudogene) 
ENSG00000211459,Mt_rRNA,MT-RNR1,mitochondrially encoded 12S rRNA 
ENSG00000213139,CRYGS,crystallin gamma S 
ENSG00000213221,DNLZ,DNL-type zinc finger 
ENSG00000213385,RPL7AP39,ribosomal protein L7a pseudogene 39 
ENSG00000213433,transcribed_RPLP1P6,ribosomal protein lateral stalk subunit P1 pseudogene 6 
ENSG00000213542,RPL7AP43,ribosomal protein L7a pseudogene 43 
ENSG00000213658,LAT,linker for activation of T cells 
ENSG00000213906,LTB4R2,leukotriene B4 receptor 2 
ENSG00000215014,novel transcript
ENSG00000215041,NEURL4,neuralized E3 ubiquitin protein ligase 4 
ENSG00000215458,AATBC,apoptosis associated transcript in bladder cancer 
ENSG00000216490,IFI30,IFI30 lysosomal thiol reductase 
ENSG00000220201,ZGLP1,zinc finger GATA like protein 1 
ENSG00000221883,ARIH2OS,ARIH2 opposite strand lncRNA 
ENSG00000222043,novel transcript
ENSG00000224046,DMTF1-AS1,DMTF1 antisense RNA 1 
ENSG00000224281,SLC25A5-AS1,SLC25A5 antisense RNA 1 
ENSG00000224358,TMCO1-AS1,TMCO1 antisense RNA 1 
ENSG00000224420,ADM5,adrenomedullin 5 (putative) 
ENSG00000224635,novel transcript
ENSG00000225345,SNX18P3,sorting nexin 18 pseudogene 3 
ENSG00000225648,SBDSP1,SBDS pseudogene 1 
ENSG00000225828,FAM229A,family with sequence similarity 229 member A 
ENSG00000227354,RBM26-AS1,RBM26 antisense RNA 1 
ENSG00000227518,MIR1302-9HG,MIR1302-9 host gene 
ENSG00000227896,WAPL-DT,WAPL divergent transcript 
ENSG00000227908,IL6ST-DT,IL6ST divergent transcript 
ENSG00000228409,CCT6P1,chaperonin containing TCP1 subunit 6 pseudogene 1 
ENSG00000229178,novel transcript
ENSG00000229544,NKX1-2,NK1 homeobox 2 
ENSG00000230280,HNRNPA1P59,heterogeneous nuclear ribonucleoprotein A1 pseudogene 59 
ENSG00000230337,EXOSC10-AS1,EXOSC10 antisense RNA 1 
ENSG00000230359,transcribed_TPI1P2,triosephosphate isomerase 1 pseudogene 2 
ENSG00000230736,novel transcript
ENSG00000231305,IFT122P3,IFT122 pseudogene 3 
ENSG00000231784,transcribed_unitary_pseudogene,DBIL5P,diazepam binding inhibitor-like 5, pseudogene 
ENSG00000232956,SNHG15,small nucleolar RNA host gene 15 
ENSG00000233822,H2BC15,H2B clustered histone 15 
ENSG00000234585,CCT6P3,chaperonin containing TCP1 subunit 6 pseudogene 3 
ENSG00000234912,SNHG20,small nucleolar RNA host gene 20 
ENSG00000235090,RPL7L1P3,ribosomal protein L7 like 1 pseudogene 3 
ENSG00000235529,AGAP1-IT1,AGAP1 intronic transcript 1 
ENSG00000236255,novel transcript
ENSG00000241360,PDXP,pyridoxal phosphatase 
ENSG00000241370,RPP21,ribonuclease P/MRP subunit p21 
ENSG00000242028,HYPK,huntingtin interacting protein K 
ENSG00000242622,GSK3B-DT,GSK3B divergent transcript 
ENSG00000244945,RUFY1-AS1,RUFY1 antisense RNA 1 
ENSG00000245748, antisense to TBC1D14 and TADA2B
ENSG00000246863,GPR176-DT,GPR176 divergent transcript 
ENSG00000246889,CTTN-DT,CTTN divergent transcript 
ENSG00000246922,UBAP1L,ubiquitin associated protein 1 like 
ENSG00000247092,SNHG10,small nucleolar RNA host gene 10 
ENSG00000247373,TMED2-DT,TMED2 divergent transcript 
ENSG00000249459,ZNF286B,zinc finger protein 286B (pseudogene) 
ENSG00000249850,KRT18P31,keratin 18 pseudogene 31 
ENSG00000250673,REELD1,reeler domain containing 1 
ENSG00000252690,TEC
ENSG00000254473,UBQLN1-AS1,UBQLN1 antisense RNA 1 
ENSG00000254634,unSMG1P6,SMG1 pseudogene 6 
ENSG00000254858,MPV17L2,MPV17 mitochondrial inner membrane protein like 2 
ENSG00000254911,SCARNA9,small Cajal body-specific RNA 9 
ENSG00000255198,SNHG9,small nucleolar RNA host gene 9 
ENSG00000255224,TEC
ENSG00000255624,transcribed_C10orf88B,C10orf88B (pseudogene) 
ENSG00000255717,SNHG1,small nucleolar RNA host gene 1 
ENSG00000256453,DND1,DND microRNA-mediated repression inhibitor 1 
ENSG00000257950,P2RX5-TAX1BP3,P2RX5-TAX1BP3 readthrough (NMD candidate) 
ENSG00000258311,novel protein
ENSG00000258568,RHOQP1,ras homolog family member Q pseudogene 1 
ENSG00000258738,BAZ1A-AS1,BAZ1A antisense RNA 1 
ENSG00000259529,novel transcript
ENSG00000259802,MARCHF6-DT,MARCHF6 divergent transcript 
ENSG00000259818,CZIB-DT,CZIB divergent transcript 
ENSG00000260007,novel protein
ENSG00000260325,HSPB9,heat shock protein family B (small) member 9 
ENSG00000260339,HEXA-AS1,HEXA antisense RNA 1 
ENSG00000260342,novel protein
ENSG00000260367, antisense to SPNS1
ENSG00000260589,STAM-DT,STAM divergent transcript 
ENSG00000260778,MIR3677HG,MIR3677 and MIR940 host gene 
ENSG00000260806,PAPOLA-DT,PAPOLA divergent transcript 
ENSG00000260942,CAPN10-DT,CAPN10 divergent transcript 
ENSG00000260948, sense overlapping WDR77 & OVGP1
ENSG00000261087,ZNNT1,ZNF706 neighboring transcript 1 
ENSG00000261360,OTULIN-DT,OTULIN divergent transcript 
ENSG00000261556,SMG1P7,SMG1 pseudogene 7 
ENSG00000261716,H2BC20P,H2B clustered histone 20, pseudogene 
ENSG00000261758,STAG1-DT,STAG1 divergent transcript 
ENSG00000261884,novel transcript
ENSG00000262202,novel transcript
ENSG00000263823, antisense to KIAA1012
ENSG00000263990,novel transcript
ENSG00000267322,SNHG22,small nucleolar RNA host gene 22 
ENSG00000267342, antisense to MRPL38
ENSG00000267673,FDX2,ferredoxin 2 
ENSG00000268403, antisense to ZNF143
ENSG00000268798,novel transcript
ENSG00000269846, antisense to RBL1
ENSG00000270332,SMC2-DT,SMC2 divergent transcript 
ENSG00000270673,YTHDF3-DT,YTHDF3 divergent transcript 
ENSG00000272056, antisense to AGBL5
ENSG00000272103,novel transcript
ENSG00000272145,NFYC-AS1,NFYC antisense RNA 1 
ENSG00000272631, antisense to BMPR1A
ENSG00000272677,HNRNPD-DT,HNRNPD divergent transcript 
ENSG00000272768, antisense to PURB
ENSG00000272843, antisense to POM121
