ensembl_gene_id,external_gene_name,entrezgene_id,gene_biotype,description
ENSG00000118193,KIF14,9928,protein_coding,kinesin family member 14 [Source:HGNC Symbol;Acc:HGNC:19181]
ENSG00000119630,PGF,5228,protein_coding,placental growth factor [Source:HGNC Symbol;Acc:HGNC:8893]
ENSG00000120334,CENPL,91687,protein_coding,centromere protein L [Source:HGNC Symbol;Acc:HGNC:17879]
ENSG00000120437,ACAT2,39,protein_coding,acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]
ENSG00000120539,MASTL,84930,protein_coding,microtubule associated serine/threonine kinase like [Source:HGNC Symbol;Acc:HGNC:19042]
ENSG00000120875,DUSP4,1846,protein_coding,dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]
ENSG00000121152,NCAPH,23397,protein_coding,non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]
ENSG00000121211,MND1,84057,protein_coding,meiotic nuclear divisions 1 [Source:HGNC Symbol;Acc:HGNC:24839]
ENSG00000121957,GPSM2,29899,protein_coding,G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29501]
ENSG00000122483,CCDC18,343099,protein_coding,coiled-coil domain containing 18 [Source:HGNC Symbol;Acc:HGNC:30370]
ENSG00000122952,ZWINT,11130,protein_coding,ZW10 interacting kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13195]
ENSG00000122966,CIT,11113,protein_coding,citron rho-interacting serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1985]
ENSG00000123219,CENPK,64105,protein_coding,centromere protein K [Source:HGNC Symbol;Acc:HGNC:29479]
ENSG00000123374,CDK2,1017,protein_coding,cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]
ENSG00000123416,TUBA1B,10376,protein_coding,tubulin alpha 1b [Source:HGNC Symbol;Acc:HGNC:18809]
ENSG00000123473,STIL,6491,protein_coding,STIL centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:10879]
ENSG00000123485,HJURP,55355,protein_coding,Holliday junction recognition protein [Source:HGNC Symbol;Acc:HGNC:25444]
ENSG00000123975,CKS2,1164,protein_coding,CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]
ENSG00000125148,MT2A,4502,protein_coding,metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]
ENSG00000125319,HROB,78995,protein_coding,homologous recombination factor with OB-fold [Source:HGNC Symbol;Acc:HGNC:28460]
ENSG00000125885,MCM8,84515,protein_coding,minichromosome maintenance 8 homologous recombination repair factor [Source:HGNC Symbol;Acc:HGNC:16147]
ENSG00000126453,BCL2L12,83596,protein_coding,BCL2 like 12 [Source:HGNC Symbol;Acc:HGNC:13787]
ENSG00000126787,DLGAP5,9787,protein_coding,DLG associated protein 5 [Source:HGNC Symbol;Acc:HGNC:16864]
